,name,score
8,rank_by_group,0.07059420720513374
4,max_by_group,0.08160095848565443
7,mean_by_group,0.08452404658858666
6,median_by_group,0.08460241955826285
2,group_killPlace_avg,0.09189517200275574
2,total_heals,0.09676456845928078
9,kill_per_distance,0.09678186686972728
5,sum_by_group,0.09753211992256594
8,distance_per_kill,0.09788992694266861
3,kills_norm,0.09813181841198612
0,original,0.09829147117238374
12,heal_per_distance,0.10018553427506431
5,headshotAcc,0.10024002255180568
6,total_distance,0.10112052181468291
1,lobby_ct,0.1011589589498166
10,heal_per_kill,0.10264447281519024
11,kill_per_heal,0.10301464364795422
4,damageDelt_norm,0.10400965047767925
0,original,0.10473883220906237
3,min_by_group,0.1049165118866491
13,distance_per_heal,0.10538757123709439
1,group_ct,0.10599337782699865
7,group_ct,0.10741084686883441
