,name,score
8,rank_by_group,0.052941100883069366
7,mean_by_group,0.0668506455332613
6,median_by_group,0.06686103574340879
4,max_by_group,0.06791893540591898
5,sum_by_group,0.07472459315927955
2,group_killPlace_avg,0.07476071302920254
11,kill_per_heal,0.07657721675935779
3,min_by_group,0.07708466880868563
5,headshotAcc,0.07820887613133694
4,damageDelt_norm,0.07858369190288338
3,kills_norm,0.07861343365513826
13,distance_per_heal,0.07871785059210741
8,distance_per_kill,0.07887158963659738
2,total_heals,0.07887162759835166
0,original,0.07890245938924074
0,original,0.07895363081943302
1,lobby_ct,0.07905851620461646
7,group_ct,0.0790709404089438
9,kill_per_distance,0.07912387112130184
6,total_distance,0.07913665011140755
1,group_ct,0.07918117249893959
10,heal_per_kill,0.07949964908738426
12,heal_per_distance,0.07951490841949281
